iteration,accuracy,precision,recall,f1,roc_auc,timestamp,strategy_type,split_type,initial_size,batch_size,iterations,iteration_id
1,0.7970353477765109,0.7970841872028793,0.797056376118161,0.7970329727480757,0.8952413147493239,20250804_111851,uncertainty,random,50,10,20,1
2,0.8358038768529077,0.8372150126428854,0.8356927397545246,0.8355984628362545,0.9234553775743707,20250804_111851,uncertainty,random,50,10,20,2
3,0.8506271379703535,0.8559124619675456,0.8504186602870814,0.8500156006647581,0.9280502392344497,20250804_111851,uncertainty,random,50,10,20,3
4,0.863169897377423,0.8639610051089563,0.8630902850010401,0.8630757220921155,0.9335864364468484,20250804_111851,uncertainty,random,50,10,20,4
5,0.8608893956670467,0.8624145821578584,0.8607785521115041,0.8607153643473824,0.9310692739754525,20250804_111851,uncertainty,random,50,10,20,5
6,0.8745724059293044,0.8774813603045271,0.8744227168712295,0.8742976722852884,0.9350998543790305,20250804_111851,uncertainty,random,50,10,20,6
7,0.8597491448118586,0.8655983922999629,0.8595329727480757,0.8591330238389061,0.9356953401289785,20250804_111851,uncertainty,random,50,10,20,7
8,0.8608893956670467,0.8646378777364203,0.86071614312461,0.8604887080790695,0.9332483877678386,20250804_111851,uncertainty,random,50,10,20,8
9,0.8734321550741163,0.8774957921312856,0.8732551487414189,0.8730518697225573,0.9398559392552527,20250804_111851,uncertainty,random,50,10,20,9
10,0.8654503990877993,0.869602054455706,0.8652693987934263,0.8650290585448817,0.9374609943831913,20250804_111851,uncertainty,random,50,10,20,10
11,0.8700114025085519,0.871578061981485,0.8699006656958601,0.8698487830787016,0.9348112128146454,20250804_111851,uncertainty,random,50,10,20,11
12,0.8597491448118586,0.8616087770491461,0.8596265862284169,0.8595380306338896,0.9429893904722281,20250804_111851,uncertainty,random,50,10,20,12
13,0.87115165336374,0.8722180486430651,0.871060432702309,0.8710383068320379,0.9482447472436031,20250804_111851,uncertainty,random,50,10,20,13
14,0.8700114025085519,0.871578061981485,0.8699006656958601,0.8698487830787016,0.9412575410859163,20250804_111851,uncertainty,random,50,10,20,14
15,0.8665906499429875,0.8684880717057304,0.866468171416684,0.8663898340176022,0.942523923444976,20250804_111851,uncertainty,random,50,10,20,15
16,0.879133409350057,0.879669854565154,0.879069586020387,0.8790766525141525,0.9470355731225297,20250804_111851,uncertainty,random,50,10,20,16
17,0.8700114025085519,0.870818996976332,0.8699318701893073,0.8699219359875097,0.9493057000208031,20250804_111851,uncertainty,random,50,10,20,17
18,0.8848346636259977,0.8861415596617601,0.8847358019554816,0.8847171518002981,0.9481745371333472,20250804_111851,uncertainty,random,50,10,20,18
19,0.8768529076396807,0.8780318527177089,0.8767578531308509,0.8767360749609578,0.9474568337840649,20250804_111851,uncertainty,random,50,10,20,19
20,0.8757126567844926,0.8769861154609041,0.8756136883711254,0.8755858370914107,0.9409064905346369,20250804_111851,uncertainty,random,50,10,20,20
1,0.7970353477765109,0.7970841872028793,0.797056376118161,0.7970329727480757,0.8952413147493239,20250804_111851,entropy,random,50,10,20,1
2,0.8358038768529077,0.8372150126428854,0.8356927397545246,0.8355984628362545,0.9234553775743707,20250804_111851,entropy,random,50,10,20,2
3,0.8506271379703535,0.8559124619675456,0.8504186602870814,0.8500156006647581,0.9280502392344497,20250804_111851,entropy,random,50,10,20,3
4,0.863169897377423,0.8639610051089563,0.8630902850010401,0.8630757220921155,0.9335864364468484,20250804_111851,entropy,random,50,10,20,4
5,0.8608893956670467,0.8624145821578584,0.8607785521115041,0.8607153643473824,0.9310692739754525,20250804_111851,entropy,random,50,10,20,5
6,0.8745724059293044,0.8774813603045271,0.8744227168712295,0.8742976722852884,0.9350998543790305,20250804_111851,entropy,random,50,10,20,6
7,0.8597491448118586,0.8655983922999629,0.8595329727480757,0.8591330238389061,0.9356953401289785,20250804_111851,entropy,random,50,10,20,7
8,0.8608893956670467,0.8646378777364203,0.86071614312461,0.8604887080790695,0.9332483877678386,20250804_111851,entropy,random,50,10,20,8
9,0.8734321550741163,0.8774957921312856,0.8732551487414189,0.8730518697225573,0.9398559392552527,20250804_111851,entropy,random,50,10,20,9
10,0.8654503990877993,0.869602054455706,0.8652693987934263,0.8650290585448817,0.9374609943831913,20250804_111851,entropy,random,50,10,20,10
11,0.8700114025085519,0.871578061981485,0.8699006656958601,0.8698487830787016,0.9348112128146454,20250804_111851,entropy,random,50,10,20,11
12,0.8597491448118586,0.8616087770491461,0.8596265862284169,0.8595380306338896,0.9429893904722281,20250804_111851,entropy,random,50,10,20,12
13,0.87115165336374,0.8722180486430651,0.871060432702309,0.8710383068320379,0.9482447472436031,20250804_111851,entropy,random,50,10,20,13
14,0.8700114025085519,0.871578061981485,0.8699006656958601,0.8698487830787016,0.9412575410859163,20250804_111851,entropy,random,50,10,20,14
15,0.8665906499429875,0.8684880717057304,0.866468171416684,0.8663898340176022,0.942523923444976,20250804_111851,entropy,random,50,10,20,15
16,0.879133409350057,0.879669854565154,0.879069586020387,0.8790766525141525,0.9470355731225297,20250804_111851,entropy,random,50,10,20,16
17,0.8700114025085519,0.870818996976332,0.8699318701893073,0.8699219359875097,0.9493057000208031,20250804_111851,entropy,random,50,10,20,17
18,0.8848346636259977,0.8861415596617601,0.8847358019554816,0.8847171518002981,0.9481745371333472,20250804_111851,entropy,random,50,10,20,18
19,0.8768529076396807,0.8780318527177089,0.8767578531308509,0.8767360749609578,0.9474568337840649,20250804_111851,entropy,random,50,10,20,19
20,0.8757126567844926,0.8769861154609041,0.8756136883711254,0.8755858370914107,0.9409064905346369,20250804_111851,entropy,random,50,10,20,20
1,0.7970353477765109,0.7970841872028793,0.797056376118161,0.7970329727480757,0.8952413147493239,20250804_111851,margin,random,50,10,20,1
2,0.8358038768529077,0.8372150126428854,0.8356927397545246,0.8355984628362545,0.9234553775743707,20250804_111851,margin,random,50,10,20,2
