timestamp,strategy_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,duration_sec
20250514_155812,uncertainty,2,0.1,100,5,110,0.8836944127708096,0.8819840364880274,0.0017103762827822555,4.01
20250514_155812,random,2,0.1,100,5,110,0.8529076396807298,0.8557582668187002,0.002850627137970352,4.01
20250514_155812,entropy,2,0.1,100,5,110,0.8973774230330672,0.8962371721778791,0.0011402508551880963,4.01
20250514_155812,margin,2,0.1,100,5,110,0.879133409350057,0.8774230330672748,0.0017103762827822,4.01
20250515_143658,uncertainty,40,0.1,100,50,2100,0.9464082098061574,0.9265393386545039,0.022709159284143632,302.15
20250515_143658,random,40,0.1,100,50,2100,0.9144811858608894,0.8859179019384265,0.016617860424242823,302.15
20250515_143658,entropy,40,0.1,100,50,2100,0.9452679589509693,0.9263968072976055,0.024589464087343287,302.15
20250515_143658,margin,40,0.1,100,50,2100,0.95096921322691,0.9241733181299887,0.026489674125687323,302.15
