iteration,accuracy,precision,recall,f1,roc_auc,timestamp,strategy_type,split_type,initial_size,batch_size,iterations,iteration_id
22,0.935005701254276,0.9351622569267425,0.9350400457665904,0.9350026589762226,0.9820028084044102,20250730_162204,margin,random,100,50,40,22
23,0.935005701254276,0.9350470692255682,0.9350244435198669,0.9350053632374451,0.9801747451633036,20250730_162204,margin,random,100,50,40,23
24,0.9372862029646523,0.9375286172161172,0.9373283752860413,0.9372809840520633,0.9828115248595798,20250730_162204,margin,random,100,50,40,24
25,0.936145952109464,0.936343062275636,0.9361842105263158,0.9361418838092266,0.9818207821926357,20250730_162204,margin,random,100,50,40,25
26,0.9452679589509693,0.9455643902337489,0.9453141252340337,0.9452621942973651,0.9845563761181609,20250730_162204,margin,random,100,50,40,26
27,0.942987457240593,0.9431871390666459,0.9430257957145829,0.9429838248296666,0.983661847306012,20250730_162204,margin,random,100,50,40,27
28,0.9407069555302167,0.9408291718684977,0.9407374661951321,0.9407050281886455,0.986639276055752,20250730_162204,margin,random,100,50,40,28
29,0.942987457240593,0.9438496405126602,0.9430648013313917,0.9429660267415847,0.9871749531932599,20250730_162204,margin,random,100,50,40,29
30,0.9475484606613455,0.9478462002789168,0.9475946536301227,0.9475429362016414,0.9865378614520491,20250730_162204,margin,random,100,50,40,30
31,0.9441277080957811,0.944373334998335,0.9441699604743083,0.9441230585191109,0.9850452465154983,20250730_162204,margin,random,100,50,40,31
32,0.9418472063854048,0.9419381852984625,0.9418738298314957,0.9418459966220829,0.9884179321822343,20250730_162204,margin,random,100,50,40,32
33,0.9498289623717218,0.9498314974880644,0.949836176409403,0.949828897140658,0.9896921156646556,20250730_162204,margin,random,100,50,40,33
34,0.9475484606613455,0.9478462002789168,0.9475946536301227,0.9475429362016414,0.987965467027252,20250730_162204,margin,random,100,50,40,34
35,0.9372862029646523,0.9373764642240393,0.9373127730393176,0.9372848983179325,0.9863480341169129,20250730_162204,margin,random,100,50,40,35
36,0.942987457240593,0.9431871390666459,0.9430257957145829,0.9429838248296666,0.9870683378406491,20250730_162204,margin,random,100,50,40,36
37,0.9475484606613455,0.9476131528851255,0.9475712502600375,0.9475478468899521,0.9880122737674225,20250730_162204,margin,random,100,50,40,37
