ID,strategy,initial_size,batch_size,iterations,test_ssize,seed,n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,score_metric,score,max_value,min_value,last_value,avg_last10,std_last10,avg_last5,std_last5,final_accuracy,final_auc,precision,recall,f1,fnr,total_labeled,sim_calls,sim_time_sec_measured,runtime_wall_sec
48cfb3c0,entropy,400,80,22,0.1,42,1100,,2,2,balanced,accuracy,0.7323618929662065,0.92018244013683,0.8962371721778791,0.9099201824401368,0.9119726339794754,0.006605586480255531,0.9140250855188142,0.004362856663559672,0.9099201824401368,0.9827017006696452,0.9163282338057218,0.907830058008144,0.9091643296636158,0.09216994199185602,2080,2160,11006.748100499624,11128.59499389981
5b50c314,entropy,500,50,20,0.1,42,1000,20.0,2,2,balanced_subsample,accuracy,0.7385779026960694,0.927023945267959,0.9064994298745724,0.919042189281642,0.92018244013683,0.004944009894795652,0.919042189281642,0.0064097921653616,0.919042189281642,0.983982670457504,0.9261631001809858,0.9168827652284396,0.9183281851509368,0.08311723477156041,1450,1500,6979.067944700597,7073.870153900003
cf1ba653,margin,100,50,20,0.1,42,200,20.0,4,2,balanced_subsample,accuracy,0.7405793827685743,0.9327251995438997,0.8939566704675028,0.9293044469783353,0.9205245153933864,0.009702858106957703,0.9267958950969213,0.002325664544398114,0.9293044469783353,0.981410316493267,0.9328248135193224,0.9278439091448744,0.928913955215295,0.07215609085512564,1050,1100,7013.767274497543,7043.21271800017
b76fd57e,margin,120,200,10,0.1,1337,1500,28.0,2,1,balanced,accuracy,0.7386350163080211,0.935005701254276,0.8768529076396807,0.9144811858608894,0.9144811858608893,0.016060950386918158,0.9258836944127709,0.007318953950230878,0.9144811858608894,0.9825741244102852,0.9200384896777682,0.9125581903958508,0.9138340977241196,0.08744180960414916,1920,2120,6235.735985901207,6273.524771500146
b15b7640,margin,120,200,10,0.1,42,1500,28.0,2,1,balanced,accuracy,0.7325540652851844,0.928164196123147,0.8449258836944128,0.9236031927023944,0.9106043329532497,0.02354666331182014,0.9206385404789053,0.00561392639684891,0.9236031927023944,0.982907384842899,0.9268704259464012,0.922175878193312,0.9231941628661772,0.07782412180668796,1920,2120,6030.64410290285,6068.663162600016
d6d0b602,margin,150,100,20,0.1,42,800,40.0,2,1,balanced_subsample,accuracy,0.7406152338396952,0.9327251995438997,0.8654503990877993,0.9122006841505133,0.918928164196123,0.007129075955457471,0.9133409350057013,0.004079485477764724,0.9122006841505133,0.9817956488684768,0.9181769439843716,0.9101941242019976,0.9115006323349212,0.08980587579800237,2050,2150,6271.141224903287,6324.562185999937
189eaeee,margin,150,150,12,0.1,42,1200,30.0,2,1,balanced_subsample,accuracy,0.745339350681349,0.9407069555302168,0.8996579247434435,0.9224629418472065,0.9236031927023947,0.010475424472388466,0.9220068415051312,0.007549804039793311,0.9224629418472065,0.9794602222430512,0.927496084158835,0.9206709990522908,0.9219219691018592,0.07932900094770923,1800,1950,13260.081464593532,13347.759185400091
26c325ac,margin,200,125,16,0.1,42,1000,35.0,2,1,balanced_subsample,accuracy,0.7428013143577569,0.9338654503990876,0.8802736602052451,0.919042189281642,0.9234891676168757,0.005890805634248315,0.9217787913340935,0.006749668682758776,0.919042189281642,0.9834228970745984,0.9261631001809858,0.9168827652284396,0.9183281851509368,0.08311723477156041,2075,2200,12217.035176294625,12308.318033599991
f689e7dc,margin,200,50,30,0.1,42,600,30.0,4,2,balanced_subsample,accuracy,0.7435545190936337,0.936145952109464,0.8848346636259977,0.9156214367160777,0.9207525655644242,0.003721133152127856,0.919042189281642,0.0022805017103762594,0.9156214367160777,0.9828475021089136,0.9209741340030306,0.9137402234927776,0.9149997904398668,0.08625977650722239,1650,1700,6104.15272409888,6174.6626935999375
15690565,margin,200,75,24,0.1,42,800,25.0,2,1,balanced_subsample,accuracy,0.7413890076137476,0.9338654503990876,0.8802736602052451,0.9133409350057012,0.918472063854048,0.005426683710052807,0.914709236031927,0.0022110284412389636,0.9133409350057012,0.9823163682944356,0.921670139445424,0.910972599743806,0.9124796470402856,0.08902740025619404,1925,2000,11251.1612599995,11358.945259599946
