timestamp,strategy_type,split_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,roc_auc_mean,duration_sec
2025-07-15_11-57-45,uncertainty,random,40,0.1,100,50,2100,0.942987457240593,0.9227480045610035,0.02272327139116192,0.9237667676737058,0.9228212112544206,0.9227063165271001,0.963578700332848,1114.87
2025-07-15_11-57-45,random,random,40,0.1,100,50,2100,0.9179019384264538,0.8985176738882554,0.02111466275303668,0.8987550988888641,0.8985443753900562,0.8985026123034048,0.9631891642396505,1114.87
2025-07-15_11-57-45,entropy,random,40,0.1,100,50,2100,0.9418472063854048,0.916163055872292,0.02516183516766321,0.9180687060171607,0.9162628068441855,0.9160746736280195,0.957623842833368,1114.87
2025-07-15_11-57-45,margin,random,40,0.1,100,50,2100,0.9441277080957811,0.9208950969213227,0.022612769344548273,0.9219013850610154,0.9208457067817765,0.9208283274306538,0.966626014146037,1114.87
2025-07-15_11-57-45,uncertainty,sequential,40,0.1,100,50,2100,0.9190421892816419,0.9119156214367161,0.01062867328307955,0.9184290034411845,0.9098905447766634,0.9111843905011916,0.9714246102415096,1114.87
2025-07-15_11-57-45,random,sequential,40,0.1,100,50,2100,0.9201824401368301,0.904133409350057,0.012463175267828221,0.9110364195991604,0.9021601394486621,0.9032955690376212,0.9714573504754169,1114.87
2025-07-15_11-57-45,entropy,sequential,40,0.1,100,50,2100,0.9156214367160775,0.9099486887115166,0.012598320755157726,0.9149351583818749,0.908156223638579,0.9093064062978524,0.9762530462086417,1114.87
2025-07-15_11-57-45,margin,sequential,40,0.1,100,50,2100,0.9190421892816419,0.9139110604332952,0.01682980905949842,0.9194235525315184,0.9120640276606158,0.9132287421923817,0.9781987794336656,1114.87
