timestamp,strategy_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,duration_sec,Data Splitting Strategy (extra column)
20250513_202508,uncertainty,6,0.1,50,10,110,0.891676169,0.854618016,0.029128518,8.89,Manual Temporal Split
20250513_202508,random,6,0.1,50,10,110,0.89281642,0.864120106,0.020026656,8.89,Manual Temporal Split
20250513_202508,entropy,6,0.1,50,10,110,0.890535918,0.881033827,0.019458648,8.89,Manual Temporal Split
20250513_202508,margin,6,0.1,50,10,110,0.890535918,0.872481946,0.020391229,8.89,Manual Temporal Split
20250513_202522,uncertainty,3,0.1,50,20,110,0.870011403,0.857848727,0.009042476,4.37,Manual Temporal Split
20250513_202522,random,3,0.1,50,20,110,0.798175599,0.807677689,0.009690269,4.37,Manual Temporal Split
20250513_202522,entropy,3,0.1,50,20,110,0.882554162,0.871911821,0.009371971,4.37,Manual Temporal Split
20250513_202522,margin,3,0.1,50,20,110,0.862029647,0.870011403,0.007620653,4.37,Manual Temporal Split
20250513_202720,uncertainty,60,0.1,50,1,110,0.909920182,0.891353098,0.017663576,83.49,Manual Temporal Split
20250513_202720,random,60,0.1,50,1,110,0.870011403,0.858969973,0.017284603,83.49,Manual Temporal Split
20250513_202720,entropy,60,0.1,50,1,110,0.867730901,0.873394147,0.011109825,83.49,Manual Temporal Split
20250513_202720,margin,60,0.1,50,1,110,0.872291904,0.870505511,0.009012952,83.49,Manual Temporal Split
20250513_202744,uncertainty,6,0.1,50,10,110,0.897377423,0.859939187,0.023794722,8.42,Manual Temporal Split
20250513_202744,random,6,0.1,50,10,110,0.847206385,0.836754086,0.012789404,8.42,Manual Temporal Split
20250513_202744,entropy,6,0.1,50,10,110,0.871151653,0.86450019,0.021214148,8.42,Manual Temporal Split
20250513_202744,margin,6,0.1,50,10,110,0.860889396,0.85290764,0.019595513,8.42,Manual Temporal Split
20250513_202753,uncertainty,1,0.1,50,50,100,0.822120867,0.822120867,0,1.5,Manual Temporal Split
20250513_202753,random,1,0.1,50,50,100,0.831242873,0.831242873,0,1.5,Manual Temporal Split
20250513_202753,entropy,1,0.1,50,50,100,0.851767389,0.851767389,0,1.5,Manual Temporal Split
20250513_202753,margin,1,0.1,50,50,100,0.859749145,0.859749145,0,1.5,Manual Temporal Split
20250513_202806,uncertainty,1,0.1,50,100,150,0.858608894,0.858608894,0,1.83,Manual Temporal Split
20250513_202806,random,1,0.1,50,100,150,0.814139111,0.814139111,0,1.83,Manual Temporal Split
20250513_202806,entropy,1,0.1,50,100,150,0.863169897,0.863169897,0,1.83,Manual Temporal Split
20250513_202806,margin,1,0.1,50,100,150,0.74686431,0.74686431,0,1.83,Manual Temporal Split
20250513_202937,uncertainty,50,0.1,100,1,150,0.890535918,0.877901938,0.015550681,75.8,Manual Temporal Split
20250513_202937,random,50,0.1,100,1,150,0.865450399,0.861619156,0.007002143,75.8,Manual Temporal Split
20250513_202937,entropy,50,0.1,100,1,150,0.885974914,0.877628278,0.009080407,75.8,Manual Temporal Split
20250513_202937,margin,50,0.1,100,1,150,0.889395667,0.882326112,0.006920862,75.8,Manual Temporal Split
20250513_203026,uncertainty,25,0.1,100,2,150,0.897377423,0.891448119,0.011614898,37.67,Manual Temporal Split
20250513_203026,random,25,0.1,100,2,150,0.865450399,0.871562144,0.007402889,37.67,Manual Temporal Split
20250513_203026,entropy,25,0.1,100,2,150,0.885974914,0.880912201,0.011107144,37.67,Manual Temporal Split
20250513_203026,margin,25,0.1,100,2,150,0.864310148,0.871106043,0.015997618,37.67,Manual Temporal Split
20250513_203048,uncertainty,5,0.1,100,10,150,0.867730901,0.845610034,0.01264805,7.64,Manual Temporal Split
20250513_203048,random,5,0.1,100,10,150,0.865450399,0.86659065,0.010475424,7.64,Manual Temporal Split
20250513_203048,entropy,5,0.1,100,10,150,0.885974914,0.886659065,0.010060089,7.64,Manual Temporal Split
20250513_203048,margin,5,0.1,100,10,150,0.89395667,0.882098062,0.00908201,7.64,Manual Temporal Split
