timestamp,strategy_type,split_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,roc_auc_mean,duration_sec
20250813_113407,entropy,random,10,0.1,10,5,60,0.8403648802736602,0.8151653363740022,0.03715695976027689,0.8177705884626173,0.8152922820886207,0.8148024496330445,0.9071078635323486,1.042248299999983
20250813_113407,uncertainty,random,10,0.1,10,5,60,0.8403648802736602,0.8151653363740022,0.03715695976027689,0.8177705884626173,0.8152922820886207,0.8148024496330445,0.9071078635323486,1.0378446999999937
20250813_113407,margin,random,10,0.1,10,5,60,0.8403648802736602,0.8151653363740022,0.03715695976027689,0.8177705884626173,0.8152922820886207,0.8148024496330445,0.9071078635323486,1.0934460000000286
20250813_113407,random,random,10,0.1,10,5,60,0.8209806157354618,0.7762827822120867,0.02725080268187439,0.778734987146318,0.7763347722071978,0.7758337245471962,0.8598926045350531,0.9666993000000161
20250813_113407,entropy,sequential,10,0.1,10,5,60,0.855188141391106,0.8153933865450398,0.08209719054396672,0.8344493030629254,0.8166354235011092,0.8104606354289947,0.9189088845148458,1.301731200000006
20250813_113407,uncertainty,sequential,10,0.1,10,5,60,0.855188141391106,0.8153933865450398,0.08209719054396672,0.8344493030629254,0.8166354235011092,0.8104606354289947,0.9189088845148458,0.9748314999999934
20250813_113407,margin,sequential,10,0.1,10,5,60,0.855188141391106,0.8153933865450398,0.08209719054396672,0.8344493030629254,0.8166354235011092,0.8104606354289947,0.9189088845148458,0.961380599999984
20250813_113407,random,sequential,10,0.1,10,5,60,0.8814139110604333,0.833181299885975,0.0748547547447651,0.850330828408878,0.8342276689474177,0.8292319632978323,0.9364394247091783,0.7757379999999898
20250813_113407,entropy,random,20,0.1,10,5,110,0.8734321550741163,0.8393956670467503,0.03669105962955072,0.8433554587675802,0.8395535157062616,0.8389734065625781,0.9269333784064905,2.3467141000000424
20250813_113407,uncertainty,random,20,0.1,10,5,110,0.8734321550741163,0.8393956670467503,0.03669105962955072,0.8433554587675802,0.8395535157062616,0.8389734065625781,0.9269333784064905,2.5690479999999525
20250813_113407,margin,random,20,0.1,10,5,110,0.8734321550741163,0.8393956670467503,0.03669105962955072,0.8433554587675802,0.8395535157062616,0.8389734065625781,0.9269333784064905,2.3240473999999836
20250813_113407,random,random,20,0.1,10,5,110,0.8358038768529077,0.804332953249715,0.03430317300813231,0.8066887197068862,0.8042928281672559,0.8039488435754446,0.8866858227584771,1.747526300000004
20250813_113407,entropy,sequential,20,0.1,10,5,110,0.87115165336374,0.8455530216647663,0.06577130120208494,0.8605077905817348,0.8447645567115526,0.8422736777179711,0.9361501650680581,2.2215097999999784
20250813_113407,uncertainty,sequential,20,0.1,10,5,110,0.87115165336374,0.8455530216647663,0.06577130120208494,0.8605077905817348,0.8447645567115526,0.8422736777179711,0.9361501650680581,2.1899948000000222
20250813_113407,margin,sequential,20,0.1,10,5,110,0.87115165336374,0.8455530216647663,0.06577130120208494,0.8605077905817348,0.8447645567115526,0.8422736777179711,0.9361501650680581,2.128348000000017
20250813_113407,random,sequential,20,0.1,10,5,110,0.8688711516533637,0.8511972633979475,0.057171386474977,0.861019023720204,0.8511200674852377,0.8488812987004529,0.9393275950052592,1.6648879999999622
20250813_113407,entropy,random,10,0.1,10,10,110,0.8586088939566705,0.8259977194982897,0.04281091538455097,0.8278365445025002,0.825966819221968,0.8257059682175603,0.9010643332639899,1.108907199999976
20250813_113407,uncertainty,random,10,0.1,10,10,110,0.8586088939566705,0.8259977194982897,0.04281091538455097,0.8278365445025002,0.825966819221968,0.8257059682175603,0.9010643332639899,1.1318509999999833
20250813_113407,margin,random,10,0.1,10,10,110,0.8586088939566705,0.8259977194982897,0.04281091538455097,0.8278365445025002,0.825966819221968,0.8257059682175603,0.9010643332639899,1.3514341000000059
20250813_113407,random,random,10,0.1,10,10,110,0.8369441277080958,0.7941847206385405,0.029405431421494807,0.8036129339211089,0.7944206365716664,0.7925562904144925,0.8756225296442688,1.1327129000000014
20250813_113407,entropy,sequential,10,0.1,10,10,110,0.8608893956670467,0.8021664766248573,0.06814131860009359,0.8256614000278949,0.8035776028160507,0.7968814356210896,0.9163375719894606,1.350959400000022
20250813_113407,uncertainty,sequential,10,0.1,10,10,110,0.8608893956670467,0.8021664766248573,0.06814131860009359,0.8256614000278949,0.8035776028160507,0.7968814356210896,0.9163375719894606,1.3610972000000174
20250813_113407,margin,sequential,10,0.1,10,10,110,0.8608893956670467,0.8021664766248573,0.06814131860009359,0.8256614000278949,0.8035776028160507,0.7968814356210896,0.9163375719894606,1.0918384999999944
20250813_113407,random,sequential,10,0.1,10,10,110,0.7787913340935005,0.7647662485746864,0.06541711675478722,0.7844711467541208,0.7641854386019725,0.759989526233697,0.889737140833776,0.8542276000000015
20250813_113407,entropy,random,20,0.1,10,10,210,0.887115165336374,0.8482326111744586,0.03817014220271769,0.8494199784209707,0.848188709174121,0.8480573390179316,0.9169924069065946,2.958319500000016
20250813_113407,uncertainty,random,20,0.1,10,10,210,0.887115165336374,0.8482326111744586,0.03817014220271769,0.8494199784209707,0.848188709174121,0.8480573390179316,0.9169924069065946,2.728381500000012
20250813_113407,margin,random,20,0.1,10,10,210,0.887115165336374,0.8482326111744586,0.03817014220271769,0.8494199784209707,0.848188709174121,0.8480573390179316,0.9169924069065946,2.737090500000022
20250813_113407,random,random,20,0.1,10,10,210,0.8529076396807298,0.8214367160775371,0.035095654354428116,0.8265433771681673,0.8215161483253588,0.820568682550873,0.9023719315581445,1.9945147999999904
