strategy,AULC_accuracy,TTT_accuracy@0.9,TTT_accuracy@0.92,FinalAccuracy@maxTL,AULC_auc,TTT_auc@0.97,TTT_auc@0.98,FinalAUC@maxTL,AULC_precision,TTT_precision@0.9,FinalPrecision@maxTL,AULC_recall,TTT_recall@0.9,FinalRecall@maxTL,AULC_f1,TTT_f1@0.9,FinalF1@maxTL,AULC_fnr,TTT_fnr@0.1,FinalFnr@maxTL
entropy,0.9161043075036917,100.0,500.0,0.912200684150513,0.9794724672841103,275.0,580.0,0.983921485924954,0.9220846075669353,100.0,0.919737732574269,0.914186205408429,275.0,0.9099519896689265,0.9154330502524171,100.0,0.9113834709059006,,,
margin,0.9161043075036917,100.0,500.0,0.912200684150513,0.9794724672841103,275.0,580.0,0.983921485924954,0.9220846075669353,100.0,0.919737732574269,0.914186205408429,275.0,0.9099519896689265,0.9154330502524171,100.0,0.9113834709059006,,,
random,0.9101871162955497,100.0,1040.0,0.9064994298745723,0.9742608524181549,325.0,960.0,0.9741462805011404,0.9155259453928645,100.0,0.9109513894810084,0.9083842641223028,320.0,0.9047682277835056,0.9095064206317528,100.0,0.9058748798421054,,,
uncertainty,0.9161109465188603,120.0,500.0,0.912200684150513,0.9794781766277435,275.0,580.0,0.983921485924954,0.9220960207639721,100.0,0.919737732574269,0.9141923240511743,275.0,0.9099519896689265,0.9154394359837509,150.0,0.9113834709059006,,,
