timestamp,strategy_type,split_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,roc_auc_mean,duration_sec
2025-07-15_11-37-40,uncertainty,random,4,0.1,100,50,300,0.9053591790193842,0.8791334093500569,0.025176057201618723,0.8794172705981445,0.8791202933222384,0.8790992091667557,0.944294128354483,24.09
2025-07-15_11-37-40,random,random,4,0.1,100,50,300,0.8802736602052451,0.8543329532497149,0.022952417027822865,0.8572524418472232,0.854217157270647,0.8539119414847645,0.9383652745995423,24.09
2025-07-15_11-37-40,entropy,random,4,0.1,100,50,300,0.8779931584948689,0.8645952109464081,0.007749302861498426,0.866249933663128,0.8646550603286873,0.864451810358381,0.933385557520283,24.09
2025-07-15_11-37-40,margin,random,4,0.1,100,50,300,0.8916761687571265,0.8674458380843786,0.02230604351139066,0.8676639740005003,0.8674745163303517,0.8674297570607814,0.9411008685250677,24.09
2025-07-15_11-37-40,uncertainty,sequential,4,0.1,100,50,300,0.8996579247434435,0.8822690992018244,0.014543786794554278,0.8847476151984481,0.8809010528946792,0.8816760751610704,0.9529927047208424,24.09
2025-07-15_11-37-40,random,sequential,4,0.1,100,50,300,0.8836944127708096,0.8725769669327252,0.01118303605811463,0.8739422427282982,0.873073338123952,0.8724236511552105,0.9460157153122755,24.09
2025-07-15_11-37-40,entropy,sequential,4,0.1,100,50,300,0.9030786773090079,0.8970923603192702,0.0035490021659032654,0.9039929892842319,0.8950568104893721,0.8961917872506872,0.9662014038595723,24.09
2025-07-15_11-37-40,margin,sequential,4,0.1,100,50,300,0.8608893956670467,0.8603192702394526,0.0074553573720764306,0.8724239807854669,0.8573599785463597,0.8582980653183037,0.939088845148457,24.09
