timestamp,strategy_type,split_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,roc_auc_mean,duration_sec
2025-07-15_10-26-36,uncertainty,random,4,0.1,100,50,300,0.011402508551881414,0.005131128848346636,0.004379216503915968,0.41666666666666663,0.003416892032452673,0.006768819020943381,0.350529176201373,766.39
2025-07-15_10-26-36,random,random,4,0.1,100,50,300,0.002280501710376283,0.0017103762827822121,0.0005701254275940707,0.5,0.001141564385271479,0.0022779279139357412,0.30927163511545663,766.39
2025-07-15_10-26-36,entropy,random,4,0.1,100,50,300,0.013683010262257697,0.005131128848346636,0.005378552526828166,0.3680555555555556,0.003419492406906594,0.006753516356094509,0.3795922612856251,766.39
2025-07-15_10-26-36,margin,random,4,0.1,100,50,300,0.011402508551881414,0.005131128848346636,0.0041505757635578785,0.36111111111111105,0.003412991470771791,0.006744449470710159,0.35117991990846686,766.39
2025-07-15_10-26-36,uncertainty,sequential,4,0.1,100,50,300,0.028506271379703536,0.014253135689851768,0.010497122371449242,0.3333333333333333,0.009850275807722617,0.018846249233069108,0.21119729017610733,766.39
2025-07-15_10-26-36,random,sequential,4,0.1,100,50,300,0.0,0.0,0.0,0.0,0.0,0.0,0.31499359515106073,766.39
2025-07-15_10-26-36,entropy,sequential,4,0.1,100,50,300,0.014823261117445839,0.004561003420752566,0.006087273803894704,0.22685185185185186,0.0030848286659515456,0.006071722876172764,0.36249492298559693,766.39
2025-07-15_10-26-36,margin,sequential,4,0.1,100,50,300,0.014823261117445839,0.003990877993158495,0.006271379703534778,0.12173202614379086,0.0026773657151387027,0.0052251848691542814,0.26511778673415193,766.39
